Section,Field,Value,Notes
Contact,Primary Email,shikhar.dwivedi@dgc.ind.in,Shown site-wide (header ticker footer contact page)
Contact,Mobile,+91 9721227799,Shown on Contact page and footer
Contact,Landline,0542-2502525,Shown on Contact page and footer
Contact,WhatsApp,+91 9721227799,WhatsApp link: wa.me/919721227799
Careers,Application Email,shikhar.dwivedi@dgc.ind.in,Careers page
Privacy,Privacy Queries Email,shikhar.dwivedi@dgc.ind.in,Privacy Policy contact (when published)
Compliance,Official Email,aditi.kapoor@dgc.ind.in,Published credentials on Compliance page
Compliance,Year of Establishment,2003,
Compliance,Firm Registration No.,012584C,
Compliance,RBI Unique Code,000293,Leading zeros as on Compliance page
Compliance,Peer Review Certificate No.,014832,Leading zeros as on Compliance page
Compliance,CAG Empanelment No.,CR3209,
Compliance,ICAI Firm Category,I (One),
Compliance,PAN,AAEFD6000D,
Compliance,GSTN,09AAEFD6000D1Z1,
Compliance,Head Office,Varanasi,
Compliance,Branch Offices,"Kolkata, Delhi, Bokaro",
